ordem;pct_clientes;pct_receita
0;0,0;0,0
1;1e-05;0,00089
2;0,00503;0,06555
3;0,01006;0,10385
4;0,01508;0,13384
5;0,02011;0,15939
6;0,02513;0,18191
7;0,03015;0,20217
8;0,03518;0,22085
9;0,04021;0,23808
10;0,04523;0,25395
11;0,05026;0,26868
12;0,05528;0,2825
13;0,06031;0,29554
14;0,06533;0,30802
15;0,07035;0,31996
16;0,07538;0,33141
17;0,08041;0,34253
18;0,08543;0,35326
19;0,09046;0,36365
20;0,09548;0,37372
21;0,10051;0,38348
22;0,10553;0,39302
23;0,11055;0,40231
24;0,11559;0,41133
25;0,12061;0,42007
26;0,12563;0,42857
27;0,13066;0,43684
28;0,13568;0,44492
29;0,14071;0,45281
30;0,14573;0,46052
31;0,15075;0,46807
32;0,15579;0,47548
33;0,16081;0,48272
34;0,16583;0,48984
35;0,17086;0,49683
36;0,17588;0,5037
37;0,18091;0,51045
38;0,18593;0,5171
39;0,19095;0,52366
40;0,19599;0,53015
41;0,20101;0,53651
42;0,20603;0,5428
43;0,21106;0,54899
44;0,21608;0,55508
45;0,22111;0,56109
46;0,22613;0,56703
47;0,23116;0,57291
48;0,23619;0,57869
49;0,24121;0,58441
50;0,24623;0,59006
51;0,25126;0,59563
52;0,25628;0,60112
53;0,26131;0,60653
54;0,26633;0,61189
55;0,27136;0,61719
56;0,27639;0,62242
57;0,28141;0,62759
58;0,28644;0,6327
59;0,29146;0,63776
60;0,29648;0,64277
61;0,30151;0,64774
62;0,30653;0,65266
63;0,31156;0,65753
64;0,31659;0,66234
65;0,32161;0,66711
66;0,32664;0,67182
67;0,33166;0,67648
68;0,33668;0,68108
69;0,34171;0,68563
70;0,34674;0,69014
71;0,35176;0,6946
72;0,35679;0,69901
73;0,36181;0,70338
74;0,36684;0,70771
75;0,37186;0,71198
76;0,37688;0,71621
77;0,38191;0,72041
78;0,38694;0,72458
79;0,39196;0,7287
80;0,39699;0,73277
81;0,40201;0,73681
82;0,40704;0,74081
83;0,41206;0,74475
84;0,41708;0,74865
85;0,42211;0,75251
86;0,42714;0,75634
87;0,43216;0,76013
88;0,43719;0,76387
89;0,44221;0,76757
90;0,44724;0,77122
91;0,45226;0,77483
92;0,45728;0,77841
93;0,46232;0,78197
94;0,46734;0,7855
95;0,47236;0,78899
96;0,47739;0,79245
97;0,48241;0,79588
98;0,48744;0,79928
99;0,49246;0,80263
100;0,49748;0,80594
101;0,50252;0,80922
102;0,50754;0,81247
103;0,51256;0,81569
104;0,51759;0,81888
105;0,52261;0,82203
106;0,52764;0,82515
107;0,53266;0,82824
108;0,53768;0,8313
109;0,54272;0,83433
110;0,54774;0,83732
111;0,55276;0,84028
112;0,55779;0,84321
113;0,56281;0,84611
114;0,56784;0,84898
115;0,57286;0,85181
116;0,57789;0,85462
117;0,58292;0,85739
118;0,58794;0,86012
119;0,59296;0,86283
120;0,59799;0,8655
121;0,60301;0,86815
122;0,60804;0,87078
123;0,61306;0,87338
124;0,61809;0,87595
125;0,62312;0,87849
126;0,62814;0,88101
127;0,63316;0,8835
128;0,63819;0,88595
129;0,64321;0,88836
130;0,64824;0,89075
131;0,65326;0,89311
132;0,65829;0,89545
133;0,66332;0,89777
134;0,66834;0,90006
135;0,67336;0,90232
136;0,67839;0,90456
137;0,68341;0,90678
138;0,68844;0,90898
139;0,69347;0,91115
140;0,69849;0,9133
141;0,70352;0,91542
142;0,70854;0,91752
143;0,71356;0,9196
144;0,71859;0,92165
145;0,72361;0,92369
146;0,72864;0,9257
147;0,73367;0,9277
148;0,73869;0,92967
149;0,74372;0,93162
150;0,74874;0,93355
151;0,75377;0,93546
152;0,75879;0,93735
153;0,76381;0,93922
154;0,76884;0,94106
155;0,77387;0,94288
156;0,77889;0,94466
157;0,78392;0,94643
158;0,78894;0,94817
159;0,79397;0,9499
160;0,79899;0,9516
161;0,80401;0,95328
162;0,80905;0,95494
163;0,81407;0,95657
164;0,81909;0,95818
165;0,82412;0,95977
166;0,82914;0,96133
167;0,83417;0,96286
168;0,83919;0,96437
169;0,84421;0,96585
170;0,84925;0,96731
171;0,85427;0,96875
172;0,85929;0,97017
173;0,86432;0,97156
174;0,86934;0,97293
175;0,87437;0,97428
176;0,87939;0,97561
177;0,88441;0,97692
178;0,88945;0,97821
179;0,89447;0,97947
180;0,89949;0,9807
181;0,90452;0,98192
182;0,90954;0,9831
183;0,91457;0,98426
184;0,91959;0,9854
185;0,92462;0,98653
186;0,92965;0,98763
187;0,93467;0,98871
188;0,93969;0,98977
189;0,94472;0,9908
190;0,94974;0,9918
191;0,95477;0,99279
192;0,95979;0,99375
193;0,96482;0,99468
194;0,96985;0,99558
195;0,97487;0,99643
196;0,97989;0,99727
197;0,98492;0,99805
198;0,98994;0,99878
199;0,99497;0,99944
200;1,0;1,0
