UF;Pedidos;Alto_Risco;Pct_Alto_Risco
AL;394;95;0,2411
MA;712;144;0,2022
SE;334;61;0,1826
RR;41;7;0,1707
PI;471;80;0,1699
CE;1273;214;0,1681
RJ;12211;2020;0,1654
BA;3229;516;0,1598
PA;933;134;0,1436
TO;273;38;0,1392
PB;512;69;0,1348
MS;699;92;0,1316
ES;1969;256;0,13
PE;1579;194;0,1229
RN;471;56;0,1189
SC;3519;377;0,1071
MT;879;92;0,1047
GO;1946;194;0,0997
RS;5326;515;0,0967
AP;66;6;0,0909
DF;2070;172;0,0831
AC;80;6;0,075
MG;11285;835;0,074
RO;242;17;0,0702
AM;144;10;0,0694
PR;4900;338;0,069
SP;40266;2384;0,0592
